LDE,LFBT,Europe/Paris,Lourdes France,43.1786,-0.0064
LED,ULLI,Europe/Moscow,St Petersburg Russia,59.8,30.265
LEX,KLEX,US/Eastern,Lexington KY,38.037,-84.6054
LFT,KLFT,US/Central,Lafayette LA,30.2053,-91.8878
LFW,DXXX,Africa/Casablanca,Lome Togo,6.1656,1.2539
LGA,KLGA,US/Eastern,New York-La Guardia NY,40.7772,-73.8725
LGW,EGKK,Etc/Greenwich,London-Gatwick United Kingdom,51.1481,-0.1903
LHR,EGLL,Etc/Greenwich,London-Heathrow United Kingdom,51.4775,-0.4614
LIG,LFBL,Europe/Paris,Limoges France,45.8628,10.1794
LIL,LFQQ,Europe/Paris,Lille France,50.5617,3.0894
LIM,SPIM,Brazil/Acre,Lima Peru,-12.0217,-77.1142
LIN,LIML,Europe/Paris,Milan-Linate Italy,45.4453,9.2769
LIR,MRLB,US/Central,Liberia Costa Rica,10.5931,-85.5442
LIS,LPPT,Etc/Greenwich,Lisbon Portugal,38.7811,-9.1358
LIT,KLIT,US/Central,Little Rock AR,34.7294,-92.2242
LJU,LJLJ,Europe/Paris,Ljubljana Slovenia,46.2236,14.4575
LMM,MMLM,US/Central,Los Mochis Mexico,25.685,-109.081
LNK,KLNK,US/Central,Lincoln NE,40.8508,-96.7592
LOS,DNMM,Africa/Lagos,Lagos Nigeria,6.5772,3.3211
LOV,MMMV,US/Central,Monclova Mexico,26.9556,-101.47
LRD,KLRD,US/Central,Laredo TX,27.5436,-99.4614
LRT,LFRH,Europe/Paris,Lorient France,47.7606,-3.44
LSE,KLSE,US/Central,La Crosse WI,43.8789,-91.2567
LTO,MMLT,US/Central,Loreto Mexico,25.9892,-111.348
LUN,FLLS,Africa/Harare,Lusaka Zambia,-15.3306,28.4525
LUX,ELLX,Europe/Paris,Luxembourg,49.6264,6.2114
LWB,KLWB,US/Eastern,Lewisburg WV,37.8583,-80.3995
LWS,KLWS,US/Mountain,Lewiston ID,46.3744,-117.015
LYH,KLYH,US/Eastern,Lynchburg VA,37.3269,-79.2004
LYS,LFLL,Europe/Paris,Lyon France,45.7261,5.0908
MAA,VOMM,Asia/Calcutta,Chennai India,12.9942,80.1803
MAD,LEMD,Europe/Paris,Madrid Spain,40.4722,-3.5608
MAF,KMAF,US/Central,Midland/Odessa TX,31.9425,-102.202
MAN,EGCC,Etc/Greenwich,Manchester United Kingdom,53.3536,-2.2747
MAR,SVMC,Chile/Continental,Maracaibo Venezuela,10.5581,-71.7278
MBJ,MKJS,US/Eastern,Montego Bay Jamaica,18.5036,-77.9133
MBS,KMBS,US/Eastern,Saginaw MI,43.5328,-84.0794
MCI,KMCI,US/Central,Kansas City-Intl MO,39.2975,-94.7139
MCN,KMCN,US/Eastern,Macon GA,32.6928,-83.6492
MCO,KMCO,US/Eastern,Orlando-International FL,28.4289,-81.3158
MCW,KMCW,US/Central,Mason City IA,43.1578,-93.3311
MDT,KMDT,US/Eastern,Harrisburg PA,40.1936,-76.7633
MDW,KMDW,US/Central,Chicago-Midway IL,41.7861,-87.7525
MEI,KMEI,US/Central,Meridian MS,32.3328,-88.7517
MEM,KMEM,US/Central,Memphis TN,35.0436,-89.9767
MEX,MMMX,US/Central,Mexico City Mexico,19.4361,-99.0719
MFD,KMFD,US/Eastern,Mansfield OH,40.8214,-82.5164
MFE,KMFE,US/Central,McAllen TX,26.1758,-98.2386
MFR,KMFR,US/Pacific,Medford OR,42.3742,-122.873
MGA,MNMG,US/Central,Managua Nicaragua,12.1411,-86.1681
MGM,KMGM,US/Central,Montgomery AL,32.3006,-86.394
MHT,KMHT,US/Eastern,Manchester NH,42.9335,-71.4377
MIA,KMIA,US/Eastern,Miami FL,25.7931,-80.2906
MID,MMMD,US/Central,Merida Mexico,20.9369,-89.6575
MKE,KMKE,US/Central,Milwaukee WI,42.9467,-87.8969
MKG,KMKG,US/Eastern,Muskegon MI,43.1694,-86.2381
MLA,LMML,Europe/Paris,Valetta Malta,35.8572,14.4775
MLB,KMLB,US/Eastern,Melbourne FL,28.1028,-80.6458
MLH,LFSB,Europe/Paris,Mulhouse France,47.5896,7.5299
MLI,KMLI,US/Central,Moline/Quad Cities IL/IA,41.4481,-90.5072
MLM,MMMM,US/Central,Morelia Mexico,19.8497,-101.025
MLU,KMLU,US/Central,Monroe LA,32.5108,-92.0378
MNL,RPLL,Asia/Manila,Manila Philippines,14.5086,121.019
MOB,KMOB,US/Central,Mobile AL,30.6914,-88.2428
MOT,KMOT,US/Central,Minot ND,48.2592,-101.28
MPL,LFMT,Europe/Paris,Montpelier France,43.5761,3.9628
MQT,KMQT,US/Central,Marquette WI,46.5339,-87.5617
MRS,LFML,Europe/Paris,Marseille France,43.4356,5.2136
MRU,FIMP,Indian/Mahe,Mauritius,-20.43,57.6833
MRY,KMRY,US/Pacific,Monterey CA,36.5875,-121.843
MSH,OOMA,Asia/Dubai,Masirah AB Oman,20.6753,58.8906
MSL,KMSL,US/Central,Muscle Shoals AL,34.7453,-87.61
MSN,KMSN,US/Central,Madison WI,43.1399,-89.3375
MSO,KMSO,US/Mountain,Missoula MT,46.9163,-114.091
MSP,KMSP,US/Central,Minneapolis/St Paul MN,44.8806,-93.2169
MSY,KMSY,US/Central,New Orleans LA,29.9934,-90.258
MTJ,KMTJ,US/Mountain,Montrose/Telluride CO,38.5086,-107.894
MTY,MMMY,US/Central,Monterrey Mexico,25.7783,-100.107
MUC,EDDM,Europe/Paris,Munich Germany,48.3536,11.7858
MXL,MMML,US/Central,Mexicali Mexico,32.6306,-115.241
MXP,LIMC,Europe/Paris,Milan-Malpensa Italy,45.6314,8.7278
MYR,KMYR,US/Eastern,Myrtle Beach SC,33.6797,-78.9283
MZT,MMMZ,US/Mountain,Mazatlan Mexico,23.1611,-106.266
NAP,LIRN,Europe/Paris,Naples Italy,40.8858,14.2906
NAS,MYNN,US/Eastern,Nassau Bahamas,25.0389,-77.4661
NBO,HKJK,Africa/Nairobi,Nairobi Kenya,-1.3192,36.9275
NCE,LFMN,Europe/Paris,Nice France,43.6606,7.2175
NCL,EGNT,Etc/Greenwich,Newcastle United Kingdom,55.0375,-1.6917
NCY,LFLP,Europe/Paris,Annecy France,45.9292,6.0986
NDJ,FTTJ,Africa/Harare,Ndjamena Chad,12.1336,15.0339
NGO,RJNN,Asia/Tokyo,Nagoya Japan,35.2553,136.924
NGS,RJFU,Asia/Tokyo,Nagasaki Japan,32.9169,129.914
NIM,DRRN,Africa/Lagos,Niamey Niger,13.4814,2.1836
