"From","To","Days","Dep.","time","Arr.","time","Flightnumber","A/C","Class","stops","via","FlightTime","ServiceType"
"08-Jun","","1234567","ABQ","0630","LGA","1414","DL756","M88","FY",1,"CVG","5:44","J"
"08-Jun","02-Jul","12345 7","ABQ","1135","LGA","2010","DL1601","M88","FY",1,"ATL","6:35","J"
"04-Jul","","12345 7","ABQ","1135","LGA","2010","DL1601","M88","FY",1,"ATL","6:35","J"
"08-Jun","30-Jun","1234567","ABQ","1245","LGA","2110","DL339","M88","FY",1,"CVG","6:25","J"
"","07-Jun"," 23    ","ABQ","1255","LGA","2105","DL339","M88","FY",1,"CVG","6:10","J"
"TO","Newark   (EWR)  (Newark Liberty International Airport)"
"","07-Jun"," 23    ","ABQ","0730","EWR","1642","DL1426","M88","FY",1,"ATL","7:12","J"
"TO","Pasco   (PSC)  (Tri-Cities Airport)"
"10-Jun","","     6 ","ABQ","1150","PSC","1532","DL4018*","CRJ","Y",1,"SLC","4:42","J"
"08-Jun","","12345 7","ABQ","1225","PSC","1532","DL4018*","CRJ","Y",1,"SLC","4:07","J"
"","07-Jun"," 23    ","ABQ","1230","PSC","1535","DL3875*","CRJ","Y",1,"SLC","4:05","J"
"TO","Philadelphia   (PHL)  (Philadelphia International Airport)"
"01-Jul","01-Jul","     6 ","ABQ","1410","PHL","2302","DL6613*","319","FY",1,"MSP","6:52","J"
"TO","Portland   (PDX)  (Portland International Airport)"
"08-Jun","","12345  ","ABQ","1030","PDX","1409","DL4017*","CRJ","Y",1,"SLC","4:39","J"
"10-Jun","","     67","ABQ","1030","PDX","1428","DL4017*","CRJ","Y",1,"SLC","4:58","J"
"TO","Raleigh/Durham   (RDU)  (Raleigh/Durham Airport)"
"08-Jun","01-Jul","1234567","ABQ","0830","RDU","1648","DL6823*","320","FY",1,"MSP","6:18","J"
"","07-Jun"," 23    ","ABQ","1410","RDU","2156","DL6613*","320","FY",1,"MSP","5:46","J"
"TO","Richmond   (RIC)  (Richmond International Airport (Byrd Field))"
"","07-Jun"," 23    ","ABQ","1445","RIC","2322","DL2689*","ERJ","Y",1,"IAH","6:37","J"
"TO","Salt Lake City   (SLC)  (Salt Lake City International Airport)"
"","07-Jun"," 23    ","ABQ","0710","SLC","0845","DL3822*","CRJ","Y",0,"","1:35","J"
"08-Jun","01-Jul","123456 ","ABQ","0715","SLC","0853","DL4021*","CRJ","Y",0,"","1:38","J"
"04-Jul","","123456 ","ABQ","0715","SLC","0853","DL4021*","CRJ","Y",0,"","1:38","J"
"08-Jun","","1234567","ABQ","1030","SLC","1203","DL4017*","CRJ","Y",0,"","1:33","J"
"10-Jun","","     6 ","ABQ","1150","SLC","1322","DL4018*","CRJ","Y",0,"","1:32","J"
"08-Jun","","12345 7","ABQ","1225","SLC","1357","DL4018*","CRJ","Y",0,"","1:32","J"
"","07-Jun"," 23    ","ABQ","1230","SLC","1402","DL3875*","CRJ","Y",0,"","1:32","J"
"","07-Jun"," 23    ","ABQ","1445","SLC","1620","DL3876*","CRJ","Y",0,"","1:35","J"
"08-Jun","29-Jun","1234567","ABQ","1445","SLC","1620","DL3799*","CRJ","Y",0,"","1:35","J"
"02-Jul","","1234567","ABQ","1445","SLC","1620","DL3799*","CRJ","Y",0,"","1:35","J"
"","07-Jun"," 23    ","ABQ","1846","SLC","2024","DL3877*","CRJ","Y",0,"","1:38","J"
"08-Jun","03-Jul","1234567","ABQ","1847","SLC","2025","DL3937*","CRJ","Y",0,"","1:38","J"
"05-Jul","","1234567","ABQ","1847","SLC","2025","DL3937*","CRJ","Y",0,"","1:38","J"
